Composition (atomic)       , Ref.     , Type of phases      , rho (g/cm^3), HV   , Type of tests, sigma_y (MPa), sigma_max (MPa), epsilon (%), E (GPa)
Al0.5CoCrCu0.5FeNiTi0.5    , [25]     , FCC + BCC           , (7.1)       ,      , C            ,          1580,            2389, 17         , 161 (192)
Al0.5CoCrCuFeNiTi0.2       , [37]     , FCC                 , (7.5)       , 272  ,              ,              ,                ,            , (191)
Al0.5CoCrCuFeNiTi0.4       , [37]     , FCC                 , (7.3)       , 321  ,              ,              ,                ,            , (188)
Al0.5CoCrCuFeNiTi0.6       , [37]     , FCC + BCC           , (7.2)       , 458  ,              ,              ,                ,            , (186)
Al0.5CoCrCuFeNiTi0.8       , [37]     , FCC + BCC           , (7.1)       , 590  ,              ,              ,                ,            , (184)
Al0.5CoCrCuFeNiTi          , [37]     , FCC + BCC + Im      , (7.0)       , 636  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.2       , [37]     , FCC + BCC + Im      , (6.9)       , 646  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.4       , [37]     , FCC + BCC + Im      , (6.8)       , 664  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.6       , [37]     , FCC + BCC + Im      , (6.7)       , 657  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi1.8       , [37]     , FCC + BCC + Im      , (6.6)       , 667  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiTi2         , [37]     , FCC + BCC + Im      , (6.5)       , 696  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV0.2        , [38]     , FCC                 , (7.6)       , 204  ,              ,              ,                ,            , (191)
Al0.5CoCrCuFeNiV0.4        , [38]     , FCC + BCC           , (7.5)       , 231  ,              ,              ,                ,            , (189)
Al0.5CoCrCuFeNiV0.6        , [38]     , FCC + BCC + Im      , (7.5)       , 328  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV0.8        , [38]     , FCC + BCC + Im      , (7.4)       , 447  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV1.0        , [38]     , FCC + BCC + Im      , (7.4)       , 639  ,              ,              ,                ,            , 
Al0.5CoCrCuFeNiV1.2        , [38]     , BCC                 , (7.3)       , 579  ,              ,              ,                ,            , (182)
Al0.5CoCrCuFeNiV1.4        , [38]     , BCC                 , (7.3)       , 577  ,              ,              ,                ,            , (180)
Al0.5CoCrCuFeNiV1.6        , [38]     , BCC                 , (7.2)       , 594  ,              ,              ,                ,            , (179)
Al0.5CoCrCuFeNiV1.8        , [38]     , BCC                 , (7.2)       , 597  ,              ,              ,                ,            , (177)
Al0.5CoCrCuFeNiV2.0        , [38]     , BCC                 , (7.2)       , 587  ,              ,              ,                ,            , (176)
Al0.75CoCrCu0.25FeNiTi0.5  , [25]     , FCC + BCC           , (6.8)       ,      , C            ,          1900,            2697, 12         , 164 (189)
AlCoCrCuNiTi               , [42]     , BCC                 , (6.4)       ,      , C            ,              ,            1495, 8          , 36 (167)
AlCoCrCuNiTiY0.5           , [42]     , Im                  , (6.1)       ,      , C            ,              ,            1025, 3          , 36
AlCoCrCuNiTiY0.8           , [42]     , Im                  , (5.9)       ,      , C            ,              ,            1325, 5          , 38
AlCoCrCuNiTiY              , [42]     , Im                  , (5.8)       ,      , C            ,              ,            1192, 4          , 37
AlCoFeNi                   , [4]      , BCC                 , (6.6)       , 456  , C            ,           964,                ,            , (173)
AlCoFeNiTiVZr              , [27]     , BCC                 , (6.2)       , 790  ,              ,              ,                ,            , (143)
CoCuFeNi                   , [43]     , FCC                 , (8.6)       ,      , T            ,              ,             480, 15         , (188)
CoCuFeNiSn0.02             , [43]     , FCC                 , (8.6)       ,      , T            ,              ,             548, 17         , (187)
CoCuFeNiSn0.04             , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             594, 18         , 
CoCuFeNiSn0.05             , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             615, 20         , 
CoCuFeNiSn0.07             , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             632, 19         , 
CoCuFeNiSn0.1              , [43]     , FCC + Im            , (8.6)       ,      , T            ,              ,             602, 5          , 
CoCuFeNiSn0.2              , [43]     , FCC + Im            , (8.5)       ,      , T            ,              ,             261, 2          , 
CoCuFeNiSn0.5              , [43]     , FCC + Im            , (8.3)       ,      ,              ,              ,                ,            , 
AlCoCuFeNi                 , [39]     , FCC + BCC           , (7.0)       , 536  ,              ,              ,                ,            , (164)
AlCoCuFeNbNi               , [39]     , Im                  , (7.4)       , 578  ,              ,              ,                ,            , 
AlCoCuFeNiSi               , [39]     , FCC + BCC           , (5.9)       , 682  ,              ,              ,                ,            , (145)
AlCoCuFeNiTi               , [39]     , FCC + BCC           , (6.5)       , 626  ,              ,              ,                ,            , (156)
AlCoCuFeNiZr               , [39]     , FCC + BCC + Im      , (6.9)       , 472  ,              ,              ,                ,            , 
CoCuFeMnNi                 , [44]     , FCC                 , (8.4)       , 208 T,              ,              ,             478, 14         , (190)
CoCuFeMnNiSn0.03           , [44]     , FCC                 , (8.4)       , 192 T,              ,              ,             465, 18         , 
CoCuFeMnNiSn0.05           , [44]     , FCC + Im            , (8.4)       , 205 T,              ,              ,             475, 12         , 
CoCuFeMnNiSn0.08           , [44]     , FCC + Im            , (8.3)       , 219 T,              ,              ,             425, 7          , 
CoCuFeMnNiSn0.10           , [44]     , FCC + Im            , (8.3)       , 253 T,              ,              ,             470, 6          , 
CoCuFeMnNiSn0.20           , [44]     , FCC + Im            , (8.3)       , 319 T,              ,              ,             368, 2          , 
CrCuFeMnNi                 , [13]     , FCC + BCC           , (8.1)       , 296  ,              ,              ,                ,            , (204)
CrCuFeMoNi                 , [13]     , FCC                 , (8.7)       , 263  ,              ,              ,                ,            , (230)
AlCrCuFeNi0.6              , [45]     , FCC + BCC           , (6.6)       , 496  ,              ,              ,                ,            , (176)
AlCrCuFeNi0.8              , [45]     , FCC + BCC           , (6.7)       , 486  ,              ,              ,                ,            , (177)
AlCrCuFeNi                 , [45]     , FCC + BCC           , (6.8)       , 495  ,              ,              ,                ,            , (178)
AlCrCuFeNi1.2              , [45]     , FCC + BCC           , (6.8)       , 407  ,              ,              ,                ,            , (179)
AlCrCuFeNi1.4              , [45]     , FCC + BCC           , (6.9)       , 367  ,              ,              ,                ,            , (180)
AlCrCuFeNi2                , [46]     , FCC + BCC           , (7.1)       ,      ,              ,              ,                ,            , (182)
AlCrCuFeNiTi               , [47]     , BCC + Im            , (6.3)       ,      , C            ,              ,            1219,            , 
Al0.2CrCuFeNi2             , [46]     , FCC                 , (8.0)       ,      ,              ,              ,                ,            , (199)
Al0.4CrCuFeNi2             , [46]     , FCC                 , (7.8)       ,      ,              ,              ,                ,            , (194)
Al0.6CrCuFeNi2             , [46]     , FCC                 , (7.5)       ,      ,              ,              ,                ,            , (190)
Al0.8CrCuFeNi2             , [46]     , FCC                 , (7.3)       ,      ,              ,              ,                ,            , (186)
Al1.2CrCuFeNi2             , [46]     , FCC + BCC           , (6.9)       ,      ,              ,              ,                ,            , (178)
AlCrCuFeNi                 , [13]     , FCC + BCC           , (6.8)       , 342  ,              ,              ,                ,            , (178)
Al1.125CuFe0.75NiTi1.125   , [48]     , FCC                 , (5.9)       , 516  , C            ,           980,            1326, 7          , 145 (140)
Al22.5Cu20Fe15Ni20Ti22.5   , [48]     , FCC                 , (5.9)       , 516  , C            ,           980,            1326, 7          , 145 (140)
AlCuFeNiTi                 , [48]     , FCC                 , (6.1)       , 516  , C            ,          1074,            1617, 8          , 146 (145)
AlCuNiTi                   , [48]     , FCC                 , (5.7)       , 537  , C            ,           300,             536, < 1        , 108 (129)
AlLi0.5MgSn0.2Zn0.5        , [49]     , FCC + Im            , (2.9)       ,      , C            ,           546,             546,            , 
AlLiMg0.5ScTi1.5           , [50]     , FCC + HCP           , (2.7)       , 591  ,              ,              ,                ,            , (69)
AlLiMgSnZn                 , [49]     , FCC + HCP + Im      , (3.9)       ,      , C            ,           600,             615, 1          , 
Al8Li0.5Mg0.5Sn0.5Zn0.5    , [49]     , FCC + Im            , (3.0)       ,      , C            ,           415,             836, 16         , 
Al8Cu0.5Li0.5Mg0.5Zn0.5    , [49]     , FCC + Im            , "(2,9)"     ,      , C            ,           488,             879, 17         , 
AlCu0.2Li0.5MgZn0.5        , [49]     , Im                  , (2.7)       ,      ,              ,              ,                ,            , 
AlCu0.5Li0.5MgSn0.2        , [49]     , Im                  , (3.0)       ,      ,              ,              ,                ,            , 
AlCr0.5NbTiV               , [51]     , BCC                 , (5.6)       ,      , C            ,          1300,            1430, < 1        , (124)
AlCrNbTiV                  , [51]     , BCC + Im            , (5.8)       ,      , C            ,          1550,            1570, < 1        , 
AlCr1.5NbTiV               , [51]     , FCC + Im            , (5.9)       ,      , C            ,          1700,            1700, < 1        , 
Al0.4Hfo0.6NbTaTiZr        , [52]     , BCC                 , (9.1)       , 500  , C            ,          1841,            2269, 10         , (110)
Al0.3HfNbTaTiZr            , [53]     , BCC                 , 9.5 (9.6)   , 353  , C            ,          1188,                , 50         , 63 (108)
Al0.5HfNbTaTiZr            , [53]     , BCC                 , 9.34 (9.3)  , 396  , C            ,          1302,                , 46         , 97 (107)
Al0.75HfNbTaTiZr           , [53]     , BCC                 , 9.3 (9.1)   , 427  , C            ,          1415,                , 30         , 102 (105)
AlMo0.5NbTa00.5TiZr        , [52]     , BCC                 , (7.1)       , 591  , C            ,          2000,            2368, 10         , (123)
Al0.25MoNbTiV              , [54]     , BCC                 , (7.1)       , 460  , C            ,          1250,                , 13         , (164)
Al0.5MoNbTiV               , [54]     , BCC                 , (6.8)       , 487  , C            ,          1625,                , 11         , (158)
Al0.75MoNbTiV              , [54]     , BCC                 , (6.6)       , 517  , C            ,          1260,                , 8          , (154)
AlMoNbTiV                  , [54]     , BCC                 , (6.4)       , 537  , C            ,          1375,                , 3          , (150)
Al0.25NbTaTiV              , [55]     , BCC                 , (8.8)       ,      , C            ,          1330,                ,            , 92 (130)
Al0.5NbTaTiV               , [55]     , BCC                 , (8.5)       ,      , C            ,          1014,                ,            , 97 (127)
AlNbTaTiV                  , [55]     , BCC                 , (7.9)       ,      , C            ,           993,                ,            , 101 (121)
Al0.3NbTa0.8Ti1.4V0.2Zr1.3 , [52]     , BCC                 , (7.7)       , 500  , C            ,          1965,            2061, 5          , (110)
Al0.5NbTa0.8Ti1.5V0.2Zr    , [52]     , BCC                 , (7.6)       , 530  , C            ,          2035,            2105, 5          , (111)
Al0.3NbTaTi1.4Zr1.3        , [52]     , BCC                 , (8.1)       , 490  , C            ,          1965,            2054, 5          , (113)
AlNb1.5Ta0.5Ti1.5Zr0.5     , [52]     , BCC                 , (6.8)       , 408  , C            ,          1280,            1367, 4          , (106)
AlNbTiV                    , [56]     , BCC                 , (5.5)       , 448  , C            ,          1020,            1318, 5          , (105)
AlNbTiV                    , [51]     , BCC                 , (5.5)       ,      , C            ,          1000,            1280, 5          , (105)
CrHfNbTiZr                 , [57]     , BCC + operatornameIm, (8.2)       , 464  , C            ,          1375,            2130, 3          , 112
CrMo0.5NbTa0.5TiZr         , [58]     , BCC + Im            , (8.0)       , 540  , C            ,          1595,            2046, 5          , 
CrNbTiVZr                  , [59]     , BCC + Im            , (6.6)       , 482  , C            ,          1298,                , 3          , 
CrNbTiZr                   , [59]     , BCC + Im            , (6.6)       , 418  , C            ,          1260,                , 6          , 
FeMoNiTiVZr                , [27]     , BCC + Im            , (7.1)       , 740  ,              ,              ,                ,            , 
Hf0.5Mo0.5NbTiZr           , [60]     , BCC + Im            , (7.9)       , 400  ,              ,          1178,                , 25         , 
Hf0.5Mo0.5NbSi0.1TiZr      , [60]     , BCC + Im            , (7.7)       , 442  , C            ,          1365,                , 28         , 
Hf0.5Mo0.5NbSi0.3TiZr      , [60]     , BCC + Im            , (7.5)       , 494  , C            ,          1428,                , 23         , 
Hf0.5Mo0.5NbSi0.5TiZr      , [60]     , BCC + Im            , (7.2)       , 524  , C            ,          1605,                , 23         , 
Hf0.5Mo0.5NbSi0.7TiZr      , [60]     , BCC + Im            , (7.0)       , 580  , C            ,          1604,                , 12         , 
Hf0.5Mo0.5NbSi0.9TiZr      , [60]     , BCC + Im            , (6.8)       , 640  , C            ,          1677,                , 9          , 
Hf0.5Mo0.5NbTiZrC0.1       , [61]     , BCC + Im            , (7.8)       ,      , C            ,          1183,            2139, 38         , 
Hf0.5Mo0.5NbTiZrC0.3       , [61]     , BCC + Im            , (7.7)       ,      , C            ,          1201,            1965, 33         , 
HfMo0.25NbTaTiZr           , [62]     , BCC                 , 9.9 (9.9)   , 395  , C            ,          1112,                , 50         , 96 (121)
HfMo0.5NbTaTiZr            , [62]     , BCC                 , 10.0 (9.9)  , 480  , C            ,          1317,                , 50         , 102 (130)
HfMo0.75NbTaTiZr           , [62]     , BCC                 , 10.0 (9.9)  , 492  , C            ,          1373,                , 50         , 109 (139)
HfMoNbTaTiZr               , [63]     , BCC                 , 10.0 (10.0) , 505  , C            ,          1512,                , 12         , (147)
HfMoNbTaTiZr               , [62]     , BCC                 , 10.0 (9.9)  , 505  , C            ,          1512,                , 12         , 115 (147)
HfMoTaTiZr                 , [63]     , BCC                 , 10.2 (10.2) , 542  , C            ,          1600,                , 4          , (155)
HfMoNbZrTi                 , [64]     , BCC                 , (8.7)       ,      , C            ,          1803,            1719, 10         , (139)
HfNbSi0.5TiV               , [65]     , BCC + Im            , 8.6 (7.8)   , 490  , C            ,          1399,            1608, 11         , 
HfNbSi0.5TiVZr             , [66]     , BCC + Im            , 7.8 (7.5)   , 464  , C            ,          1540,            1643, 17         , 
HfNbTaZr                   , [67]     , BCC                 , (11.1)      , 365  , C            ,          1315,                ,            , (109)
Hf0.5Nb0.5Ta0.5Ti1.5Zr     , [68]     , BCC                 , 8.1 (8.2)   , 301  , T            ,           903,             990, 19         , (107)
HfNbTaTiZr                 , [62]     , BCC                 , 9.9 (9.9)   , 335  , C            ,          1015,                , 50         , 85 (111)
HfNbTaTiZr                 , [53]     , BCC                 , 9.7 (9.9)   , 295  , C            ,          1073,                , 50         , 55 (111)
HfNbTaTiZr                 , "[69,70]", BCC                 , (9.9)       , 390  , C            ,           929,                , 50         , (111)
HfNbTiVZr                  , [57]     , BCC + Im            , (8.1)       , 388  , C            ,          1170,            1463, 30         , 128
HfNbTiZr                   , [71]     , BCC                 , (8.4)       ,      , T            ,           879,             969, 15         , (92)
MoNbTaV                    , [72]     , BCC                 , (10.7)      , 504  , C            ,          1525,            2400, 21         , (187)
MoNbTaVW                   , [73]     , BCC                 , (12.4)      , 536  , C            ,          1246,            1270, 2          , (232)
MoNbTaW                    , [73]     , BCC                 , (13.7)      , 454  , C            ,          1058,            1211, 2          , (258)
MoNbTiV                    , [54]     , BCC                 , (7.3)       , 441  , C            ,          1200,                , 26         , (170)
Mo0.3NbTiVZr               , [74]     , BCC                 , 6.7         ,      , C            ,          1289,                , 42         , 
Mo0.5NbTiVZr               , [74]     , BCC                 , 6.8         ,      , C            ,          1473,                , 32         , 
Mo0.7NbTiVZr               , [74]     , BCC                 , 7.0         ,      , C            ,          1706,                , 32         , 
MoNbTiVZr                  , [74]     , BCC                 , 7.1         ,      , C            ,          1779,                , 32         , 
Mo1.3NbTiVZr               , [74]     , BCC                 , 7.3         ,      , C            ,          1496,                , 30         , 
Mo1.5NbTiVZr               , [74]     , BCC                 , 7.4         ,      , C            ,          1603,                , 20         , 
Mo1.7NbTiVZr               , [74]     , BCC                 , 7.5         ,      , C            ,          1645,                , 15         , 
Mo2NbTiVZr                 , [74]     , BCC                 , 7.6         ,      , C            ,          1765,                , 12         , 
MoNbTiV0.25Zr              , [75]     , BCC                 , (7.3)       ,      , C            ,          1776,            3893, 30         , (153)
MoNbTiV0.50Zr              , [75]     , BCC                 , (7.2)       ,      , C            ,          1647,            3307, 28         , (152)
MoNbTiV0.75Zr              , [75]     , BCC                 , (7.2)       ,      , C            ,          1708,            3929, 29         , (150)
MoNbTiV1.0Zr               , [75]     , BCC                 , (7.1)       ,      , C            ,          1786,            3828, 26         , (149)
MoNbTiV1.5Zr               , [75]     , BCC                 , (7.1)       ,      , C            ,          1735,            3300, 20         , (147)
MoNbTiV2.0Zr               , [75]     , BCC                 , (7.0)       ,      , C            ,          1538,            3176, 23         , (146)
MoNbTiV3.0Zr               , [75]     , BCC                 , (6.9)       ,      , C            ,          1418,            2508, 24         , (143)
MoNbTiZr                   , [75]     , BCC                 , (7.3)       ,      , C            ,          1592,            3450, 34         , (155)
NbTaTiV                    , [55]     , BCC                 , (9.2)       ,      , C            ,          1092,                ,            , 106 (134)
NbTaVW                     , [76]     , BCC                 , (12.9)      , 492  , C            ,          1530,                , 12         , (208)
NbTaTiVW                   , [76]     , BCC + HCP           , (11.1)      , 447  , C            ,          1420,                , 20         , 
NbTiV0.3Zr                 , [74]     , BCC                 , 6.5         ,      , C            ,           866,                , 45         , 
NbTiV0.3Mo0.1              , [74]     , BCC                 , 6.6         ,      , C            ,           932,                , 45         , 
NbTiV0.3Mo0.3              , [74]     , BCC                 , 6.8         ,      , C            ,          1312,                , 50         , 
NbTiV0.3Mo0.5              , [74]     , BCC                 , 6.9         ,      , C            ,          1301,                , 43         , 
NbTiV0.3Mo0.7              , [74]     , BCC                 , 7.1         ,      , C            ,          1436,                , 27         , 
NbTiV0.3Mo                 , [74]     , BCC                 , 7.3         ,      , C            ,          1455,                , 25         , 
NbTiV0.3Mo1.3              , [74]     , BCC                 , 7.4         ,      , C            ,          1603,                , 20         , 
NbTiV0.3Mo1.5              , [74]     , BCC                 , 7.5         ,      , C            ,          1576,                , 8          , 
NbTiVZr                    , [74]     , BCC                 , 6.5         ,      , C            ,          1104,                , 50         , 
NbTiVZr                    , [59]     , BCC                 , (6.5)       , 335  , C            ,          1105,                ,            , > 50 (104)
NbTiV2Zr                   , [59]     , BCC                 , (6.4)       , 304  , C            ,           918,                , > 50       , (109)
CoCrCuFeNiTiVZr            , [27]     ,                     , (7.1)       , 680  ,              ,              ,                ,            , (168)
CoCrFeMoNiTiVZr            , [27]     ,                     , (7.3)       , 850  ,              ,              ,                ,            , (193)
CoCuFeNiTiVZr              , [27]     ,                     , (7.1)       , 630  ,              ,              ,                ,            , 
CoFeNiV                    , [77]     , FCC                 , (7.8)       , 238  ,              ,              ,                ,            , (187)
CoFeMo0.2NiV               , [77]     , FCC + Im            , (8.0)       , 267  ,              ,              ,                ,            , 
CoFeMo0.4NiV               , [77]     , FCC + Im            , (8.1)       , 402  ,              ,              ,                ,            , 
CoFeMo0.6NiV               , [77]     , FCC + Im            , (8.2)       , 557  ,              ,              ,                ,            , 
CoFeMo0.8NiV               , [77]     , FCC + Im            , (8.3)       , 606  ,              ,              ,                ,            , 
CoFeMoNiV                  , [77]     , FCC + Im            , (8.4)       , 625  ,              ,              ,                ,            , 
CoFeMoNi1.2V               , [77]     , FCC + Im            , (8.4)       , 602  ,              ,              ,                ,            , 
CoFeMoNi1.4V               , [77]     , FCC + Im            , (8.5)       , 538  ,              ,              ,                ,            , 
CoFeMoNi1.6V               , [77]     , FCC + Im            , (8.5)       , 520  ,              ,              ,                ,            , 
CoFeMoNi1.8V               , [77]     , FCC + Im            , (8.5)       , 510  ,              ,              ,                ,            , 
CoFeMoNi2V                 , [77]     , FCC + Im            , (8.5)       , 382  ,              ,              ,                ,            , 
CoFeMoNiTiVZr              , [27]     ,                     , (7.3)       , 790  ,              ,              ,                ,            , 
CuFeNiTiVZr                , [27]     ,                     , (6.8)       , 590  ,              ,              ,                ,            , (142)
CoCrCuFeMnNiTiV            , [78]     , FCC + BCC + Im      , (7.3)       ,      , C            ,          1312,            1312, < 1        , 74
Al11.1(CoCrCuFeMnNiTiV)88.9, [78]     , FCC + BCC           , (6.7)       ,      , C            ,          1862,            2431, < 1        , 164 (182)
Al20(CoCrCuFeMnNiTiV)80    , [78]     , BCC                 , (6.1)       ,      , C            ,          1465,            2016, 2          , 190 (180)
Al40(CoCrCuFeMnNiTiV)60    , [78]     , BCC + Im            , (5.1)       ,      , C            ,          1461,            1461, < 1        , 163
AlFeNiTiVZr                , [27]     , BCC                 , (5.9)       , 800  ,              ,              ,                ,            , (132)
(CuMnNi)75Zn25             , [79]     , FCC                 , (8.3)       , 147  , C            ,           215,                , > 60       , (169)
(CuMnNi)80Zn20             , [79]     , FCC                 , (8.3)       , 109  , C            ,           140,                , > 65       , (171)
(CuMnNi)90Al10             , [79]     , FCC + Im            , (8.1)       , 241  , C            ,           515,                , 40         , 
(CuMnNi)90Sn10             , [79]     , FCC + Im            , (8.3)       , 318  ,              ,           630,                , 20         , 
(CuMnNi)95Al5              , [79]     , FCC                 , (8.3)       , 166  , C            ,           330,                , > 45       , (174)
(CuMnNi)95Sn5              , [79]     , FCC + Im            , (8.4)       , 205  ,              ,           380,                , > 63       , 
